block_number,ts,gas_used,gas_limit,tx_count,avg_priority_fee_gwei
23936578,2025-12-03 16:56:59-08,19974913,59999943,222,0.3880855347989418
23936579,2025-12-03 16:57:11-08,53718433,60000000,154,0.8969106412222222
23936580,2025-12-03 16:57:23-08,21393841,59941408,228,0.7844573651952381
23936581,2025-12-03 16:57:35-08,30740771,59999943,185,0.5258085106962025
23936582,2025-12-03 16:57:47-08,25454921,59941351,147,0.7540404836097561
23936583,2025-12-03 16:57:59-08,26378221,59999886,182,0.615393371244898
23936584,2025-12-03 16:58:11-08,36652122,60000000,212,0.5940461209827587
23936585,2025-12-03 16:58:23-08,18564514,60000000,124,0.8361969881632654
23936586,2025-12-03 16:58:35-08,3311347,60000000,67,0.9446631081481481
23936587,2025-12-03 16:58:59-08,59937526,59941408,279,4.166857658779412
23936588,2025-12-03 16:59:11-08,57184249,59882873,497,0.6188037491694511
23936589,2025-12-03 16:59:23-08,17857722,59941351,199,0.4501707993333333
23936590,2025-12-03 16:59:35-08,21522213,59882816,196,0.6681685313961039
23936591,2025-12-03 16:59:47-08,19746656,59941294,195,0.6706345982774193
23936592,2025-12-03 16:59:59-08,55371448,59999829,201,0.42854072916774194
23936593,2025-12-03 17:00:11-08,35580864,60000000,346,0.568172076493671
23936594,2025-12-03 17:00:23-08,4464516,60000000,81,0.9698137183134328
23936595,2025-12-03 17:00:35-08,59368022,60000000,277,0.609362378883408
23936596,2025-12-03 17:00:47-08,9090219,60000000,221,0.4192935881438849
23936597,2025-12-03 17:00:59-08,47751452,60000000,372,0.9722820573255815
23936598,2025-12-03 17:01:11-08,5994351,60000000,98,0.8377036309027778
23936599,2025-12-03 17:01:23-08,34383721,60000000,333,0.5819801062180094
23936600,2025-12-03 17:01:35-08,55963430,59941408,167,1.007256971975
23936601,2025-12-03 17:01:47-08,23356138,59999943,229,0.50097276127
23936602,2025-12-03 17:01:59-08,25134328,60000000,312,0.5601220614107143
23936603,2025-12-03 17:02:11-08,20483560,60000000,233,1.5847599062175926
23936604,2025-12-03 17:02:23-08,11041359,59941408,90,1.0424743188292684
23936605,2025-12-03 17:02:35-08,34747806,59882873,327,0.3839783569490196
23936606,2025-12-03 17:02:47-08,48348486,59824395,245,0.5134475125106382
23936607,2025-12-03 17:02:59-08,34091368,59882816,262,0.4345133931694915
23936608,2025-12-03 17:03:11-08,7303104,59941294,91,1.0607857537307692
23936609,2025-12-03 17:03:23-08,49187343,59882759,313,0.46232242629707115
23936610,2025-12-03 17:03:35-08,33709295,59941237,200,0.7972491886305733
23936611,2025-12-03 17:03:47-08,3766898,59999772,48,1.3034756900270272
23936612,2025-12-03 17:03:59-08,54313713,60000000,170,0.921489676075188
23936613,2025-12-03 17:04:11-08,53634133,60000000,381,0.43728648289644967
23936614,2025-12-03 17:04:23-08,17861193,60000000,168,0.8058189716778524
23936615,2025-12-03 17:04:35-08,29715221,60000000,235,0.9142083568316831
23936616,2025-12-03 17:04:47-08,26140590,60000000,207,0.7842651683908046
23936617,2025-12-03 17:04:59-08,3163632,60000000,51,0.8949959763555555
23936618,2025-12-03 17:05:23-08,54231543,60000000,539,0.6136588989520202
23936619,2025-12-03 17:05:35-08,20604019,60000000,153,0.9980235062651515
23936620,2025-12-03 17:05:47-08,57028539,59941408,173,0.5509566938043479
23936621,2025-12-03 17:05:59-08,47231747,59999943,250,0.3909713884788136
23936622,2025-12-03 17:06:11-08,17261470,60000000,171,0.48905488506944444
23936623,2025-12-03 17:06:23-08,8684622,60000000,62,2.2551120814561405
23936624,2025-12-03 17:06:35-08,22041268,60000000,174,0.7362044040935252
23936625,2025-12-03 17:06:47-08,55972509,60000000,317,0.7454017423864542
23936626,2025-12-03 17:06:59-08,20245791,60000000,172,0.8574253184181818
23936627,2025-12-03 17:07:11-08,12738048,60000000,154,1.0941132361240875
23936628,2025-12-03 17:07:23-08,50670846,60000000,336,0.36798933628231295
23936629,2025-12-03 17:07:35-08,30881713,60000000,250,0.3979229448931624
23936630,2025-12-03 17:07:47-08,21625596,60000000,189,0.5650172006946108
23936631,2025-12-03 17:07:59-08,28857364,59941408,200,0.45639648684705886
23936632,2025-12-03 17:08:11-08,56964515,59999943,308,0.8204345831170213
23936633,2025-12-03 17:08:23-08,6107205,60000000,113,0.7757228368421053
23936634,2025-12-03 17:08:35-08,4906181,59941408,99,0.3901263417176471
23936635,2025-12-03 17:08:47-08,59996536,59999943,1324,0.9261516486923077
23936636,2025-12-03 17:08:59-08,4938967,60000000,65,1.3509504726393442
23936637,2025-12-03 17:09:11-08,34690949,60000000,422,0.3548946363730159
23936638,2025-12-03 17:09:23-08,49567874,60000000,225,0.6441087105929648
23936639,2025-12-03 17:09:35-08,3666439,60000000,77,1.1042212702068965
23936640,2025-12-03 17:09:47-08,53957677,60000000,151,1.3353252348346458
23936641,2025-12-03 17:09:59-08,40650470,60000000,266,0.3442043169794239
23936642,2025-12-03 17:10:11-08,9384006,60000000,115,1.3439164210515464
23936643,2025-12-03 17:10:23-08,47938183,60000000,250,0.9280172203060344
23936644,2025-12-03 17:10:35-08,15084053,60000000,15,35.65005007473333
23936645,2025-12-03 17:10:47-08,9831557,60000000,228,0.8968038736787565
23936646,2025-12-03 17:10:59-08,30994236,59941408,43,5.0926816703902436
23936647,2025-12-03 17:11:11-08,20174062,59999943,212,1.9687413255939086
23936648,2025-12-03 17:11:23-08,59920649,59941351,1992,0.5698540662644628
23936649,2025-12-03 17:11:35-08,32896259,59999886,56,3.4867684350925927
23936650,2025-12-03 17:11:47-08,15279799,59941294,200,2.9731317566810813
23936651,2025-12-03 17:11:59-08,41691079,59999829,95,1.1232268464117645
23936652,2025-12-03 17:12:11-08,37261831,60000000,89,1.1211245635882354
23936653,2025-12-03 17:12:23-08,23732933,60000000,190,1.719764421494382
23936654,2025-12-03 17:12:35-08,9250558,59941408,16,1.7476309935625
23936655,2025-12-03 17:12:47-08,30116008,59882873,206,1.4046112822857144
23936656,2025-12-03 17:12:59-08,37332372,59941351,73,1.9608728874246575
23936657,2025-12-03 17:13:11-08,38430388,59999886,264,0.8718625555
23936658,2025-12-03 17:13:23-08,14203389,60000000,43,2.9295563655365853
23936659,2025-12-03 17:13:35-08,18655845,59941408,183,1.4498969652171427
23936660,2025-12-03 17:13:47-08,54824034,59999943,128,0.468584914616
23936661,2025-12-03 17:13:59-08,50252590,60000000,217,1.2583983258244682
23936662,2025-12-03 17:14:11-08,29277700,60000000,238,1.158198970299539
23936663,2025-12-03 17:14:23-08,50028726,60000000,109,0.8027601681111112
23936664,2025-12-03 17:14:35-08,47028113,59941408,148,0.9815178820909092
23936665,2025-12-03 17:14:47-08,16005298,59882873,114,1.40897746982243
23936666,2025-12-03 17:14:59-08,10463360,59941351,95,1.2428419994352942
23936667,2025-12-03 17:15:11-08,48120422,59999886,920,0.24875278354813865
23936668,2025-12-03 17:15:23-08,56017305,60000000,184,2.3302407644583334
23936669,2025-12-03 17:15:35-08,55196169,60000000,214,0.8077834018855722
23936670,2025-12-03 17:15:47-08,18038380,60000000,220,0.7004374433770492
23936671,2025-12-03 17:15:59-08,28894496,60000000,206,1.7964580566318407
23936672,2025-12-03 17:16:11-08,59915606,59941408,254,1.0075287577615064
23936673,2025-12-03 17:16:23-08,31037210,59999943,154,1.2343062003985508
23936674,2025-12-03 17:16:47-08,31413907,60000000,521,0.317577145984127
23936675,2025-12-03 17:16:59-08,48509695,60000000,393,1.0802344614162012
23936676,2025-12-03 17:17:11-08,12234423,60000000,77,2.486887052652174
23936677,2025-12-03 17:17:35-08,59936091,59941408,218,1.3831680615421051
23936678,2025-12-03 17:17:47-08,6605293,59999943,56,1.95845494846
23936679,2025-12-03 17:17:59-08,59967875,60000000,265,0.61623535669163
23936680,2025-12-03 17:18:11-08,21418320,60000000,318,0.4390793843629032
23936681,2025-12-03 17:18:23-08,22190863,60000000,84,4.124666869855263
23936682,2025-12-03 17:18:35-08,18498476,60000000,137,0.868724899778626
23936683,2025-12-03 17:18:47-08,11480069,60000000,102,1.6157050860449438
23936684,2025-12-03 17:18:59-08,14659291,59941408,145,1.3428098897785714
23936685,2025-12-03 17:19:11-08,59925962,59999943,260,0.4541294214669604
23936686,2025-12-03 17:19:23-08,16801991,60000000,162,1.128160477208861
23936687,2025-12-03 17:19:35-08,9950436,60000000,95,1.2761601758764045
23936688,2025-12-03 17:19:47-08,43709720,60000000,324,0.5834571495247934
23936689,2025-12-03 17:19:59-08,18733180,59941408,124,0.9829739345660378
23936690,2025-12-03 17:20:11-08,58005352,59999943,486,0.3452398052705167
23936691,2025-12-03 17:20:23-08,58974980,60000000,292,0.4550026488093385
23936692,2025-12-03 17:20:35-08,43619658,59941408,227,0.590062052726257
23936693,2025-12-03 17:20:47-08,34537052,59999943,211,0.6173435591336899
23936694,2025-12-03 17:20:59-08,34137257,60000000,233,1.404832123618812
23936695,2025-12-03 17:21:11-08,37730611,60000000,289,0.9291401473100775
23936696,2025-12-03 17:21:23-08,26564242,60000000,167,0.6800217792307692
23936697,2025-12-03 17:21:35-08,4076833,60000000,94,2.467175444275
23936698,2025-12-03 17:21:47-08,51894648,59941408,440,0.7469908606086956
23936699,2025-12-03 17:21:59-08,13518499,59999943,95,1.0593838106022728
23936700,2025-12-03 17:22:11-08,23580379,60000000,239,1.0331622533086957
23936701,2025-12-03 17:22:23-08,22417657,60000000,119,1.243118197851852
23936702,2025-12-03 17:22:35-08,40088777,59941408,457,0.34940266777479895
23936703,2025-12-03 17:22:47-08,16446727,59999943,94,1.4464908368837208
23936704,2025-12-03 17:22:59-08,40457714,60000000,410,0.5785552399419795
23936705,2025-12-03 17:23:11-08,10208961,60000000,72,3.793135596567164
23936706,2025-12-03 17:23:23-08,25241384,59941408,74,0.7348450759577465
23936707,2025-12-03 17:23:35-08,59423493,59999943,398,0.652608534438806
23936708,2025-12-03 17:23:47-08,6128842,60000000,55,2.515728228
23936709,2025-12-03 17:23:59-08,26722440,60000000,258,1.4279498614598214
23936710,2025-12-03 17:24:11-08,20398299,59941408,154,1.1170761124262294
23936711,2025-12-03 17:24:23-08,34069862,59999943,427,0.34109436478861793
23936712,2025-12-03 17:24:35-08,25824881,60000000,165,0.5908921910666667
23936713,2025-12-03 17:24:47-08,20863532,60000000,135,0.8074337655423728
23936714,2025-12-03 17:24:59-08,25063282,60000000,234,0.5096085838170732
23936715,2025-12-03 17:25:11-08,4621182,60000000,74,1.1531466835689654
23936716,2025-12-03 17:25:23-08,42054396,60000000,224,1.0112626162124352
23936717,2025-12-03 17:25:35-08,40680829,60000000,388,0.3772830013097345
23936718,2025-12-03 17:25:47-08,12871987,60000000,137,0.832182975109375
23936719,2025-12-03 17:25:59-08,42136635,60000000,260,0.6513989495475113
23936720,2025-12-03 17:26:11-08,26716430,59941408,295,0.46175673004583334
23936721,2025-12-03 17:26:23-08,32306992,59999943,238,0.5124135642820513
23936722,2025-12-03 17:26:35-08,15024403,60000000,134,1.166332032
23936723,2025-12-03 17:26:47-08,49492455,60000000,425,0.6217882896986301
23936724,2025-12-03 17:26:59-08,27491991,59941408,289,0.7917105246370968
23936725,2025-12-03 17:27:11-08,25655154,59999943,208,0.77947316025
23936726,2025-12-03 17:27:23-08,26819216,59941351,237,0.743827813147619
23936727,2025-12-03 17:27:35-08,5527322,59882816,103,1.021726451181818
23936728,2025-12-03 17:27:47-08,36628490,59941294,404,0.8399512145925926
23936729,2025-12-03 17:27:59-08,48484919,59882759,326,0.2994502592132867
23936730,2025-12-03 17:28:11-08,36462148,59941237,245,0.8063344864604651
23936731,2025-12-03 17:28:23-08,11845943,59999772,142,0.557773624017094
